Drug,SideEffect,StartedIn,DetectedIn,QuartersToDetect,ReportsAtDetection,DetectionSpeed
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,2019Q1,2019Q1,0,16,0 - same quarter
AMIODARONE,PULMONARY FIBROSIS,2019Q1,2019Q1,0,23,0 - same quarter
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,2019Q1,2019Q1,0,35,0 - same quarter
CIPROFLOXACIN,TENDON RUPTURE,2019Q1,2019Q1,0,31,0 - same quarter
CLOZAPINE,AGRANULOCYTOSIS,2019Q1,2019Q1,0,36,0 - same quarter
FEBUXOSTAT,MYOCARDIAL INFARCTION,2019Q1,2019Q1,0,42,0 - same quarter
LEVOFLOXACIN,TENDON RUPTURE,2019Q1,2019Q1,0,36,0 - same quarter
METFORMIN,LACTIC ACIDOSIS,2019Q1,2019Q1,0,29,0 - same quarter
METHOTREXATE,PANCYTOPENIA,2019Q1,2019Q1,0,37,0 - same quarter
VALPROATE,FOETAL MALFORMATION,2019Q1,2019Q1,0,26,0 - same quarter
CANAGLIFLOZIN,AMPUTATION,2019Q4,2020Q1,1,70,1-2 - within six months
CLOZAPINE,MYOCARDITIS,2020Q1,2020Q2,1,90,1-2 - within six months
MONTELUKAST,SUICIDAL IDEATION,2019Q2,2019Q3,1,216,1-2 - within six months
MONTELUKAST,NIGHTMARE,2019Q2,2019Q3,1,159,1-2 - within six months
OMEPRAZOLE,CLOSTRIDIUM DIFFICILE COLITIS,2019Q3,2019Q4,1,94,1-2 - within six months
TRAMADOL,SEROTONIN SYNDROME,2020Q1,2020Q2,1,111,1-2 - within six months
WARFARIN,GASTROINTESTINAL HAEMORRHAGE,2019Q1,2019Q2,1,146,1-2 - within six months
ATORVASTATIN,RHABDOMYOLYSIS,2019Q1,2019Q3,2,204,1-2 - within six months
HYDROXYCHLOROQUINE,ELECTROCARDIOGRAM QT PROLONGED,2020Q2,2020Q4,2,258,1-2 - within six months
LEVOFLOXACIN,AORTIC ANEURYSM,2020Q1,2020Q3,2,176,1-2 - within six months
ONDANSETRON,TORSADE DE POINTES,2020Q3,2021Q1,2,214,1-2 - within six months
SITAGLIPTIN,PANCREATITIS,2019Q2,2019Q4,2,117,1-2 - within six months
ONDANSETRON,ELECTROCARDIOGRAM QT PROLONGED,2020Q2,2021Q1,3,499,3-4 - within a year
TRAMADOL,RESPIRATORY DEPRESSION,2020Q2,2021Q1,3,348,3-4 - within a year
VARENICLINE,SUICIDAL IDEATION,2019Q1,2019Q4,3,149,3-4 - within a year
ISOTRETINOIN,DEPRESSION,2019Q1,2020Q2,5,405,5+ - over a year
APIXABAN,GASTROINTESTINAL HAEMORRHAGE,2019Q2,2020Q4,6,508,5+ - over a year
MONTELUKAST,DEPRESSION,2019Q3,2021Q1,6,1399,5+ - over a year
SERTRALINE,HYPONATRAEMIA,2019Q3,2021Q1,6,571,5+ - over a year
LEVOTHYROXINE,ATRIAL FIBRILLATION,2019Q2,2021Q1,7,782,5+ - over a year
DULOXETINE,HEPATITIS,2020Q1,2022Q4,11,536,5+ - over a year
PREDNISONE,PNEUMONIA,2020Q1,2022Q4,11,1399,5+ - over a year
ADALIMUMAB,PNEUMONIA,2019Q4,2023Q1,13,991,5+ - over a year
