Drug,SideEffect,Pair,Quarter,QuarterOrder,SignalScore,Reported,PairOutcome
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2019Q1,8077,-1.146,21,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2019Q2,8078,-0.377,55,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2019Q3,8079,-0.394,77,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2019Q4,8080,-0.278,107,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2020Q1,8081,-0.104,146,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2020Q2,8082,-0.060,180,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2020Q3,8083,0.044,225,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2020Q4,8084,0.169,276,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2021Q1,8085,0.266,336,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2021Q2,8086,0.349,397,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2021Q3,8087,0.449,469,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2021Q4,8088,0.583,561,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2022Q1,8089,0.673,652,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2022Q2,8090,0.740,742,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2022Q3,8091,0.777,821,Sustained
ADALIMUMAB,PNEUMONIA,ADALIMUMAB - PNEUMONIA,2022Q4,8092,0.803,897,Sustained
