Drug,SideEffect,OrganClass,Reported,Expected,TimesMoreThanExpected,PRR,ROR,SignalScore,Status,ReferenceSetStatus,PctSerious,PctFatal,PctRechallengePositive,PctClinicianReported,EverFlagged,FirstFlagged
CLOZAPINE,AGRANULOCYTOSIS,Blood,5182,431.7,12.00,31.67,42.43,3.538,Signal,In reference set,82.57,16.71,5.38,66.81,Yes,2019Q1
VALPROATE,FOETAL MALFORMATION,Congenital,4606,404.3,11.39,27.73,35.71,3.460,Signal,In reference set,83.98,18.43,5.88,67.72,Yes,2019Q1
AMIODARONE,PULMONARY FIBROSIS,Respiratory,4304,385.3,11.17,25.87,32.79,3.430,Signal,In reference set,82.64,16.73,6.13,67.08,Yes,2019Q1
CANAGLIFLOZIN,AMPUTATION,Procedural,2816,300.7,9.37,17.37,20.13,3.163,Signal,In reference set,82.49,17.65,5.29,68.32,Yes,2020Q1
ALLOPURINOL,STEVENS-JOHNSON SYNDROME,Skin,2814,307.1,9.16,17.04,19.66,3.132,Signal,In reference set,82.76,17.16,4.90,66.06,Yes,2019Q1
CANAGLIFLOZIN,DIABETIC KETOACIDOSIS,Metabolic,5017,557.8,8.99,16.07,21.30,3.121,Signal,In reference set,82.80,17.38,5.50,67.15,Yes,2019Q1
CLOZAPINE,MYOCARDITIS,Cardiac,2599,292.1,8.90,16.05,18.31,3.087,Signal,In reference set,83.07,17.20,5.77,67.37,Yes,2020Q2
TRAMADOL,SEROTONIN SYNDROME,Nervous system,4069,509.2,7.99,17.94,20.88,2.946,Signal,In reference set,83.51,18.24,5.33,67.24,Yes,2020Q2
METHOTREXATE,PANCYTOPENIA,Blood,5010,691.1,7.25,12.55,15.65,2.810,Signal,In reference set,83.27,17.37,5.79,66.19,Yes,2019Q1
LEVOFLOXACIN,AORTIC ANEURYSM,Vascular,3310,454.4,7.28,14.50,16.35,2.806,Signal,In reference set,83.50,17.22,5.41,65.56,Yes,2020Q3
METFORMIN,LACTIC ACIDOSIS,Metabolic,6086,918.7,6.62,18.85,22.19,2.685,Signal,In reference set,83.34,17.50,6.15,66.83,Yes,2019Q1
SITAGLIPTIN,PANCREATITIS,Gastrointestinal,3200,480.4,6.66,9.72,11.42,2.676,Signal,In reference set,81.59,16.63,6.00,66.50,Yes,2019Q4
LEVOFLOXACIN,TENDON RUPTURE,Musculoskeletal,6563,1004.0,6.54,11.64,14.99,2.667,Signal,In reference set,83.99,17.51,5.85,65.60,Yes,2019Q1
OMEPRAZOLE,CLOSTRIDIUM DIFFICILE COLITIS,Gastrointestinal,4159,653.7,6.36,14.18,15.96,2.618,Signal,In reference set,83.41,15.87,5.63,66.65,Yes,2019Q4
